,elapsed_time
0,4.997657053172588
1,9.95191747136414
2,14.90843627974391
3,19.762487683445215
4,24.665893260389566
5,29.590734595432878
6,34.4457772821188
7,39.37577903456986
8,44.22005981206894
9,49.1667718552053
10,54.14114310219884
11,58.98288862593472
12,63.828680746257305
13,68.78882681205869
14,73.65277814306319
15,78.73174494877458
16,83.73663686029613
17,88.6864968277514
18,93.5604232661426
19,98.50556499883533
20,103.48873049207032
21,108.51165837980807
22,113.47289556823671
23,118.37853171117604
24,123.3766391184181
25,128.22633017599583
26,133.27745587937534
27,138.23355486430228
28,143.14098686911166
29,148.14147235825658
