,accuracy
0,0.0033333333333333335
1,0.010666666666666666
2,0.009333333333333334
3,0.008666666666666666
4,0.008666666666666666
5,0.008
6,0.01
7,0.009333333333333334
8,0.009333333333333334
9,0.008666666666666666
10,0.01
11,0.008666666666666666
12,0.008666666666666666
13,0.01
14,0.009333333333333334
15,0.008
16,0.008
17,0.009333333333333334
18,0.008
19,0.009333333333333334
20,0.009333333333333334
21,0.009333333333333334
22,0.009333333333333334
23,0.009333333333333334
24,0.009333333333333334
25,0.009333333333333334
26,0.009333333333333334
27,0.009333333333333334
28,0.009333333333333334
29,0.009333333333333334
