,elapsed_time
0,16.541400391608477
1,33.10826117731631
2,49.64550743624568
3,66.17565594799817
4,82.73702055215836
5,99.2731655202806
6,115.82058995589614
7,132.36210075579584
8,148.91105124354362
9,165.44913672097027
10,182.00265420414507
11,198.5619501117617
12,215.11978028155863
13,231.67085937224329
14,248.22638982906938
15,264.8606713078916
16,281.44541106186807
17,298.0244265049696
18,314.5936867147684
19,331.13639913499355
20,347.6571671925485
21,364.1902121081948
22,381.0910363867879
23,397.619559250772
24,414.1469569746405
25,430.5569491069764
26,447.17912518419325
27,463.7688592635095
28,480.36081914417446
29,496.8182484637946
